4001_14261	20150721	2377	0	0	0.0
4001_14268	20150721	315	0	0	0.0
4001_14269	20150721	2655	0	0	0.0
4001_14330	20150721	0	0	0	0.0
4001_14334	20150721	477	0	0	0.0
4001_14363	20150721	671	0	0	0.0
4001_14379	20150721	304	0	0	0.0
4001_14415	20150721	551	2	2	178.0
4001_14420	20150721	1823	6	6	957.0
4001_14423	20150721	1194	3	3	423.0
4001_14449	20150721	2043	6	6	881.0
4001_14452	20150721	1067	1	1	184.0
4001_14461	20150721	2314	7	7	1096.0
4001_14462	20150721	1110	0	0	0.0
4001_14473	20150721	1079	0	0	0.0
4001_14477	20150721	369	7	4	1148.0
4001_14479	20150721	2204	4	4	750.0
4001_14484	20150721	854	2	2	452.0
4001_14494	20150721	1528	6	6	1015.0
4001_14498	20150721	1007	2	2	262.0
4001_14500	20150721	6812	10	8	2755.0
4001_14502	20150721	2323	6	6	768.0
4001_14509	20150721	365	0	0	0.0
4001_14512	20150721	1661	2	2	342.0
4001_14521	20150721	1469	3	2	508.0
4001_14523	20150721	6630	12	12	1910.0
4001_14524	20150721	711	2	2	257.0
4001_14526	20150721	3260	1	1	1361.0
4001_14527	20150721	2865	0	0	0.0
4001_14531	20150721	3769	5	5	762.0
4001_14533	20150721	2327	7	7	1317.0
4001_14535	20150721	2347	2	2	356.0
4001_14537	20150721	1325	0	0	0.0
4001_14540	20150721	1493	3	3	360.0
4001_14541	20150721	804	2	2	267.0
4001_14542	20150721	376	0	0	0.0
4001_14543	20150721	3536	8	8	2480.0
4001_14544	20150721	927	3	3	502.0
4001_14545	20150721	691	1	1	342.0
4001_14546	20150721	1217	5	5	613.0
4001_14547	20150721	3274	11	10	2074.0
4001_14548	20150721	1112	10	9	2038.0
4001_14549	20150721	895	3	3	363.0
4001_14550	20150721	400	1	1	97.0
4001_14551	20150721	360	2	2	212.0
4001_14552	20150721	645	2	2	250.0
4001_14553	20150721	421	1	1	107.0
4001_14554	20150721	787	7	7	1025.0
4001_14555	20150721	547	1	1	128.0
4001_14556	20150721	735	2	2	228.0
4001_14557	20150721	1405	3	3	1161.0
4001_14558	20150721	1216	5	5	610.0
4001_14559	20150721	483	2	2	187.0
4001_14560	20150721	369	0	0	0.0
4001_14561	20150721	2242	6	6	1020.0
4001_14562	20150721	376	0	0	0.0
4001_14563	20150721	673	0	0	0.0
4001_14564	20150721	1900	9	9	1324.0
4001_14565	20150721	433	1	1	120.0
4001_14566	20150721	1482	6	6	780.0
4001_14567	20150721	402	5	5	668.0
4001_14568	20150721	1670	8	8	943.0
4001_14569	20150721	495	0	0	0.0
4001_14570	20150721	305	0	0	0.0
4001_14571	20150721	743	6	6	698.0
4001_14572	20150721	1261	5	5	556.0
4001_14573	20150721	1404	6	6	706.0
4001_14574	20150721	1404	2	2	768.0
4001_14575	20150721	421	0	0	0.0
4001_14576	20150721	1078	3	3	607.0
4001_14577	20150721	1034	5	5	550.0
4001_14578	20150721	895	4	4	395.0
4001_14579	20150721	979	5	5	482.0
4001_14580	20150721	959	5	5	506.0
4001_14581	20150721	303	0	0	0.0
4001_14582	20150721	810	1	1	494.0
4001_14583	20150721	484	1	1	121.0
4001_14584	20150721	475	1	1	116.0
4001_14585	20150721	673	1	1	110.0
4001_14586	20150721	613	1	1	123.0
4001_14587	20150721	380	0	0	0.0
4001_14588	20150721	367	0	0	0.0
4001_14589	20150721	306	0	0	0.0
4001_14590	20150721	2707	12	9	1858.0
4001_14591	20150721	1100	2	2	288.0
4001_14592	20150721	1778	1	1	947.0
4001_14593	20150721	305	0	0	0.0
4001_14594	20150721	1333	0	0	0.0
4001_14595	20150721	303	0	0	0.0
4001_16496	20150721	517	1	1	200.0
4001_16497	20150721	2974	21	20	2103.0
4001_16497	20150722	30719	34	31	3263.0
4001_16497	20150723	16580	12	8	1097.0
4001_16497	20150724	23773	38	30	4391.0
4001_16497	20150727	8545	9	7	706.0
4001_16497	20150728	9099	3	2	321.0
4001_16498	20150721	1699	2	2	708.0
4001_16499	20150721	492	0	0	0.0
